------------------------------------------------------------------------------
                           GCC Code Coverage Report
Directory: .
------------------------------------------------------------------------------
File                                    Branches   Taken  Cover   Missing
------------------------------------------------------------------------------
src/arg.c                                     74       0     0%   41,43,90,91,94,118,119,158,165,220,224,234,237,238,254,269,270,275,299,301,303,368
src/clean.c                                  124       0     0%   10,17,24,29,30,34,35,36,37,41,43,45,50,54,64,66,71,77,84,98,99,114,131,135,151,152,158,165,166,181,187,192,196,204,222,230,252,254,260,267,268,269,274,276,277,297,308,312,321,330,331,333,335,340,350
src/compile.c                                 68       0     0%   31,32,37,39,41,48,50,54,58,59,60,61,71,85,90,99,102,112,115,125,127,138,145,146,147,186,194,203
src/emit/emit.c                             1122       0     0%   59,74,84,85,88,91,139,141,183,184,185,187,190,198,200,201,206,208,209,216,218,219,223,229,232,234,244,271,281,283,285,294,300,310,319,344,357,364,365,366,367,384,388,389,404,406,410,419,428,429,430,439,443,450,478,479,483,484,488,501,506,507,512,523,527,530,532,534,540,541,557,559,560,566,580,581,588,594,603,611,612,624,629,633,638,647,649,652,653,661,662,669,675,688,696,698,700,711,712,714,727,736,737,743,750,751,753,760,768,774,775,776,782,806,809,811,824,825,836,840,847,850,855,856,857,869,878,879,880,888,891,893,907,931,932,933,951,963,972,973,974,975,976,977,986,988,995,997,1009,1024,1025,1027,1028,1031,1032,1035,1042,1043,1045,1047,1048,1055,1057,1068,1069,1070,1071,1074,1075,1080,1084,1093,1094,1100,1106,1109,1110,1111,1112,1113,1115,1116,1122,1125,1126,1127,1129,1136,1139,1141,1142,1150,1156,1161,1167,1296,1297,1298,1300,1301,1302,1309,1316,1317,1319,1321,1326,1336,1346,1347,1353,1357,1358,1365,1366,1379,1389,1398,1411,1424,1433,1434,1457,1462,1473,1487,1488,1548,1556,1562,1572,1573,1578,1591,1601,1613,1614,1615,1616,1617,1680,1682,1683,1685,1694,1695,1697,1702,1704,1706,1715,1727,1739,1740,1746,1747,1752,1764,1766,1778,1784,1789,1796,1799,1800,1801,1821,1824,1829,1836,1837,1846,1848,1852,1856,1857,1865,1867,1881,1883,1887,1897,1912,1913,1923,1932,1949,1953,1954,1955,1956,1957,1958,1959,1961,1966,1967,1971,1972,1974,1975,1978,1991,2001,2012,2013,2014,2016,2022,2034,2035,2048,2049,2051,2052,2060,2061,2063,2064,2078,2095,2096,2097,2098,2099,2100,2101,2105,2106,2109,2110,2111,2112,2114,2115,2122,2137,2139,2140,2142,2143,2166,2173,2187,2188,2198,2200,2209,2212,2213,2224,2244,2259,2266,2269,2280,2283,2313,2318,2326,2329,2336,2337,2352,2353,2360,2370,2386,2397,2403,2419,2421,2422,2432,2445,2446,2454,2462,2463,2464,2467,2485,2486,2487,2488,2489,2490,2493,2497,2498,2500,2502,2503,2505,2506,2507,2524,2526,2534,2545,2548,2550,2561,2572,2580,2582,2589,2608,2610,2612,2613,2639,2640,2646,2648,2667,2679,2683,2691,2695,2707,2710,2715,2721,2722,2723,2724,2728,2751,2774,2794,2795,2805,2816,2825,2829,2832,2837,2838,2846,2848,2851,2855,2859,2863,2884,2886,2912,2914,2922,2924,2925,2927,2939,2940,2948,2954,2969
src/emit/emitter.c                             8       0     0%   15,16,41,58
src/emit/escape.c                             44       0     0%   26,34,35,39,40,44,53,57,66,76
src/emit/kind.c                                6       0     0%   12,13
src/emit/memoize.c                             6       0     0%   28,35,52
src/env/context.c                              8       0     0%   11,44,49,50
src/env/env.c                                 12       0     0%   51,64,66,75,80,104
src/env/env_utils.c                           60       0     0%   10,11,12,15,16,17,23,24,38,39,46,47,49,51,58,59,61,70,103,112,113
src/env/envset.c                              42       0     0%   13,14,25,26,29,32,33,40,44,46,54,57,59,66,69,70,76,80
src/env/func.c                                22       0     0%   9,10,27,32,42,44,46
src/env/nspc.c                                54       0     0%   18,19,22,29,30,32,34,35,37,41,50,51,52,69,73,81,82,84,86,88,89
src/env/trait.c                                4       0     0%   12,13
src/env/tupleform.c                           16       0     0%   26,28,29,40,44,59
src/env/type.c                                78       0     0%   15,19,20,22,27,28,29,39,54,59,70,75,80,87,97,99,109,110,111,112,116,120,128,133,147,152,153,158,159,167,168
src/env/value.c                               12       0     0%   10,12,14,34
src/gwion.c                                   52       0     0%   20,22,76,78,79,80,117,118,120,122,124,128,147,156,157,164,177,179,221,233,234,247
src/gwiondata.c                                2       0     0%   43
src/import/cleaner.c                           8       0     0%   18,26,27,44
src/import/import_cdef.c                      64       0     0%   22,33,40,49,50,61,66,71,72,80,81,82,83,86,87,89,90,97,106,111,127,133,136,138,142
src/import/import_checker.c                  158       0     0%   47,48,50,53,61,75,77,87,93,96,102,103,105,113,114,117,126,128,137,138,139,141,148,150,156,160,171,179,184,188,189,198,205,206,210,211,212,217,218,219,227,235,240,243,245,248,250,251,252,261,267,268,276,289,298,302,303,304,305,321,326,332,337,342,349,356,357,358,359,365,371,372,374
src/import/import_enum.c                      26       0     0%   24,25,47,50,51,63,67,76,77,83,84,88,89
src/import/import_fdef.c                      42       0     0%   21,23,24,35,39,49,53,78,83,90,100,101,103,105,132,133,135,139,148,155,157
src/import/import_internals.c                 10       0     0%   15,19,24,46,47
src/import/import_item.c                      18       0     0%   15,16,43,46,52,54,58,66
src/import/import_oper.c                      28       0     0%   20,29,70,75,78,80,83,85,91,93,97,99
src/import/import_special.c                    6       0     0%   31,33,61
src/import/import_tdef.c                      20       0     0%   21,23,24,28,33,37,42,47,51,52
src/import/import_type.c                      22       0     0%   18,19,20,21,26,27,34,37,41,45
src/import/import_udef.c                      34       0     0%   19,21,29,31,38,39,40,42,50,51,60,68,69,74,79,85,86
src/lib/array.c                              236       0     0%   19,26,32,40,41,50,57,65,74,81,89,116,117,118,119,122,124,144,146,182,199,212,216,224,226,239,240,252,253,262,263,264,265,270,292,293,300,301,303,308,314,317,331,333,334,339,344,359,363,374,387,438,464,482,500,502,517,520,533,534,546,557,567,576,586,601,622,636,655,667,679,688,704,706,712,728,740,748,753,758,776,780,788,790,805,806,807,809,814,820,821,828,1031,1039,1043,1054,1060,1067,1071,1080,1082,1085,1090
src/lib/closure.c                            266       0     0%   25,26,29,33,39,45,57,62,65,78,79,82,83,89,91,112,119,121,124,127,134,161,163,165,174,181,182,183,184,192,193,195,197,200,201,202,204,211,212,218,219,230,245,246,247,249,250,251,253,257,263,264,265,267,268,269,278,281,283,286,287,299,300,301,305,306,319,325,330,331,337,338,343,344,345,357,363,364,365,376,387,388,390,392,410,419,429,435,452,457,461,467,471,477,492,500,504,507,509,511,513,514,519,529,555,556,562,568,569,586,587,653,655,666,668,671,681,683,686,696,706,711,715
src/lib/deep_equal.c                          54       0     0%   31,38,48,50,51,58,59,60,68,102,103,109,119,125,135,141,154,200,208,215,217,219,238,245,250,257,262
src/lib/dict.c                               130       0     0%   99,101,122,126,132,161,176,178,179,209,211,250,252,275,284,287,311,352,353,358,367,371,412,413,429,430,439,454,487,488,489,518,547,548,550,553,561,563,585,586,588,589,591,626,627,628,629,630,638,643,649,669,673,683
src/lib/engine.c                              32       0     0%   18,40,49,55,60,65,70,75,81,87,93,99,106,133,141,166
src/lib/event.c                                6       0     0%   15,35,43
src/lib/instr.c                               58       0     0%   21,24,27,29,30,41,42,43,48,50,54,63,67,74,76,79,86,94,95,100,105,113,114,147,152,155,156,158
src/lib/lib_class.c                           20       0     0%   22,23,32,52,58,67,72,77
src/lib/lib_gack.c                            10       0     0%   23,24,35,46,51
src/lib/locale.c                              40       0     0%   13,14,15,16,17,18,19,25,28,29,32,40,46
src/lib/modules.c                             38       0     0%   96,145,147,201,208,211,215,217,218,227,228,237,245,248,253,259,268
src/lib/object.c                              26       0     0%   47,49,56,60,62,63,89,92,93,96,97,104
src/lib/object_op.c                          226       0     0%   31,33,38,46,48,59,66,69,71,81,82,96,97,110,132,133,134,135,139,140,142,150,151,152,153,156,157,161,162,167,170,190,202,204,206,213,216,226,227,231,239,240,242,243,246,250,257,260,261,262,268,271,276,283,291,294,299,300,302,303,305,308,309,313,316,322,324,333,335,339,354,356,366,367,369,377,384,385,386,395,404,406,408,418,421,432,434,445,447
src/lib/opfunc.c                              48       0     0%   18,63,73,94,106,120,121,123,125,126,128,131,132,142,148,149,152,159,161
src/lib/prim.c                               482       0     0%   24,28,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,116,117,118,119,120,121,122,123,124,188,189,190,195,203,228,229,230,255,260,269,302,322,353,354,355,356,357,358,359,360,361,362,363,364,416,417,418,419,421,422,423,424,425,426,427,428,500,501,506,549,550,551,552,554,555,556,557,558,559,560,561,564,565,566,567,568,569,570,571,575,577
src/lib/prim_values.c                          0       0    --%
src/lib/ptr.c                                 48       0     0%   20,30,31,39,40,41,47,48,61,63,64,65,68,76,78,87,91,146,160,163
src/lib/ref.c                                 36       0     0%   29,36,42,44,50,57,67,75,93,116,154,182,183,184,185,189,194
src/lib/shred.c                               80       0     0%   59,70,79,81,87,89,92,103,109,152,153,160,162,175,192,194,196,205,206,213,223,233,245,270,287,296,297,302,327,329,332,334,337,339
src/lib/sift.c                                 6       0     0%   20,34,86
src/lib/string.c                             176       0     0%   30,31,49,50,68,69,83,87,88,98,99,103,104,105,110,120,121,128,129,136,145,147,161,162,163,168,169,174,179,194,195,196,207,215,220,221,233,234,243,246,247,248,258,265,268,277,280,290,293,302,309,312,321,324,325,335,338,339,350,351,357,358,365,377,406,407,411,424,435,447,452,465,467
src/lib/tmpl_info.c                           28       0     0%   27,29,45,50,66,67,87,89,93,95,101,103
src/lib/ugen.c                               132       0     0%   22,31,41,44,46,48,72,76,108,123,128,135,174,175,180,181,183,209,211,229,231,233,235,251,252,253,256,272,274,276,279,298,299,308,317,321,330,332,341,342,350
src/lib/union.c                               50       0     0%   20,34,35,40,44,45,59,62,71,75,79,81,93,112,115,120,121,126,127,179,189
src/lib/xork.c                                38       0     0%   17,23,35,37,39,40,41,42,44,51,53,55,56,63,74,76,90
src/main.c                                     4       0     0%   12,49
